key,date,project_id,volume,currency,volume_usd
2024-04-15_4974,2024-04-15,4974,0.61,sunflower-land,0.03
2024-04-02_1609,2024-04-02,1609,2565000000000000000.00,matic-network,1300280580000000000.00
