app,ts,event,project_id,source,ident,user_id,session_id,country,device_type,device_os,device_os_ver,device_browser,device_browser_ver,props,nums
seq-market,2024-04-01 09:35:03.404,BUY_ITEMS,0,,1,73d24189e20b5775d37dc23dd8b176f025a39b435e43802dd6,2ba6bc4ae91f5f56,US,mobile,android,14,chrome,122.0.6261.119,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x69b779ce792fc3045efce4a331582c8ae51fcb0ad003ec41aa363f97cbeec93b""}","{""currencyValueRaw"":""39446683743925390000"",""currencyValueDecimal"":""39.446683743925384""}"
seq-market,2024-04-01 09:44:03.504,BUY_ITEMS,0,,1,73d24189e20b5775d37dc23dd8b176f025a39b435e43802dd6,2ba6bc4ae91f5f56,US,mobile,android,14,chrome,122.0.6261.119,"{""currencySymbol"":""USDC.E"",""marketplaceType"":""amm"",""txnHash"":""0x39c4d712dd2498e0f6c2e7943ffcb0da54696169812ede7738e2351bd88489f6"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0x2791bca1f2de4661ed88a30c99a7a9449aa84174""}","{""currencyValueDecimal"":""3.114454"",""currencyValueRaw"":""3114454""}"
seq-market,2024-04-01 08:16:33.409,BUY_ITEMS,0,,1,7ba88bce73b20e4a3ffaeb3f254257101cb155b9a1c05f24fc,9789e83d20501db2,LV,desktop,windows,10.0,chrome,123.0.0.0,"{""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x815fbf70f4e491727df6109c9ba4eff011934cd539e4e26e43d728957ddca964"",""chainId"":""137""}","{""currencyValueDecimal"":""96.16913595648482"",""currencyValueRaw"":""96169135956484820000""}"
seq-market,2024-04-01 09:23:12.894,BUY_ITEMS,0,,1,7ba88bce73b20e4a3ffaeb3f254257101cb155b9a1c05f24fc,79e12a8b91fa5621,LV,desktop,windows,10.0,chrome,123.0.0.0,"{""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xc9ceee508801a84310d2d7c2badc9a3276f3584c11394e740d9f27afbb27895d"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05""}","{""currencyValueDecimal"":""153.21518555255352"",""currencyValueRaw"":""153215185552553500000""}"
seq-market,2024-04-01 12:54:22.911,BUY_ITEMS,0,,1,7c15d3bcbb4bea09dc3c46ea9623511f671f96eb8b0d0bb10d,f83d9a48b3c81a37,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xd5d0a7617fec2e08578d8f55e76b3f69aa68c272fe8cc1d8aebae0031aa11fe5""}","{""currencyValueRaw"":""65931049651550224000"",""currencyValueDecimal"":""65.93104965155023""}"
seq-market,2024-04-01 17:58:22.313,BUY_ITEMS,0,,1,7c15d3bcbb4bea09dc3c46ea9623511f671f96eb8b0d0bb10d,9ee65def140031e5,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x2a3bf190bc30dbb3cb25c6b0ffe834ac4c43b4bdd2361fa940294244651a266d""}","{""currencyValueDecimal"":""13.106713065142754"",""currencyValueRaw"":""13106713065142755000""}"
seq-market,2024-04-01 20:37:41.731,BUY_ITEMS,0,,1,7c15d3bcbb4bea09dc3c46ea9623511f671f96eb8b0d0bb10d,b8d0b59b3f58b746,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xbc7853bb8cf6dc692fdab304117ca32d7d002cc58bad50ff73f22aea4d3007d4"",""chainId"":""137""}","{""currencyValueDecimal"":""14.008941171535787"",""currencyValueRaw"":""14008941171535786000""}"
seq-market,2024-04-01 20:41:51.906,BUY_ITEMS,0,,1,7c15d3bcbb4bea09dc3c46ea9623511f671f96eb8b0d0bb10d,b8d0b59b3f58b746,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x6ea7eb43566b383e4cba4fa6535cd21512569780ffec6518430df135e4b3fba4""}","{""currencyValueDecimal"":""3.505952806776906"",""currencyValueRaw"":""3505952806776906000""}"
seq-market,2024-04-01 20:54:33.374,BUY_ITEMS,0,,1,7c15d3bcbb4bea09dc3c46ea9623511f671f96eb8b0d0bb10d,b8d0b59b3f58b746,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x56e1617ecf35b901c7a3fa06a1f04f5bc305375512a088713d63d664c7cc48ce"",""chainId"":""137""}","{""currencyValueDecimal"":""5.790274464569267"",""currencyValueRaw"":""5790274464569267000""}"
seq-market,2024-04-01 07:30:50.409,BUY_ITEMS,0,,1,8e1ada635c957f7a384bede19dd2eb2d98f622969a185a989a,14d1dcab49c3a1bd,US,desktop,linux,x86_64,chrome,124.0.0.0,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xceddc647ed52b3a60992b9e4f0ee3711da6eedd899a41e36e5e890ba893c0826""}","{""currencyValueDecimal"":""23.496789459520148"",""currencyValueRaw"":""23496789459520147000""}"
