date,project_id,num_transactions,total_vol_in_usd
2024-04-15,0,4.07,4.07
2024-04-15,0,0.84,0.84
2024-04-15,4974,0.49,0.49
2024-04-15,4974,0.89,0.89
2024-04-15,4974,1.80,1.80
2024-04-15,4974,0.03,0.03
2024-04-15,4974,0.14,0.14
2024-04-15,0,2.11,2.11
2024-04-15,0,4.71,4.71
2024-04-15,4974,32.47,32.47
2024-04-15,0,11.96,11.96
2024-04-15,0,40.42,40.42
2024-04-15,0,8.73,8.73
2024-04-15,0,48.48,48.48
2024-04-15,0,1.62,1.62
2024-04-15,4974,6.00,6.00
2024-04-15,0,18.67,18.67
2024-04-15,0,1.12,1.12
2024-04-15,0,1.23,1.23
2024-04-15,0,0.51,0.51
2024-04-15,0,0.76,0.76
2024-04-15,0,5.02,5.02
2024-04-15,0,0.98,0.98
2024-04-15,0,2.36,2.36
2024-04-15,0,0.24,0.24
2024-04-15,0,1.80,1.80
2024-04-15,0,0.72,0.72
2024-04-15,0,0.05,0.05
2024-04-15,4974,8.16,8.16
2024-04-15,4974,1.04,1.04
2024-04-15,4974,15.04,15.04
2024-04-15,4974,3.35,3.35
2024-04-15,1609,2375000000000000000.00,2375000000000000000.00
2024-04-15,1609,2500000000000000000.00,2500000000000000000.00
2024-04-15,4974,16.68,16.68
2024-04-15,4974,2.69,2.69
2024-04-15,4974,12.19,12.19
2024-04-15,4974,9.23,9.23
2024-04-15,0,1.62,1.62
2024-04-15,0,0.39,0.39
2024-04-15,4974,0.69,0.69
2024-04-15,4974,0.47,0.47
2024-04-15,4974,0.28,0.28
2024-04-15,4974,0.81,0.81
2024-04-15,4974,1.04,1.04
2024-04-15,4974,1.29,1.29
2024-04-15,4974,0.56,0.56
2024-04-15,4974,0.83,0.83
2024-04-15,4974,1.62,1.62
2024-04-15,0,3.06,3.06
2024-04-15,4974,0.20,0.20
2024-04-15,4974,0.79,0.79
2024-04-15,4974,5.29,5.29
2024-04-15,4974,3.01,3.01
2024-04-15,4974,4.67,4.67
2024-04-15,4974,0.56,0.56
2024-04-15,1660,5.17,5.17
2024-04-15,4974,0.06,0.06
2024-04-15,0,5.80,5.80
2024-04-15,4974,16.25,16.25
2024-04-15,4974,0.05,0.05
2024-04-15,4974,8.42,8.42
2024-04-15,4974,9.05,9.05
2024-04-15,4974,4.51,4.51
2024-04-15,4974,10.43,10.43
2024-04-15,4974,4.67,4.67
2024-04-15,4974,3.87,3.87
2024-04-15,43,10000000000000000000.00,10000000000000000000.00
2024-04-15,43,4400000000000000000.00,4400000000000000000.00
2024-04-15,43,4500000000000000000.00,4500000000000000000.00
2024-04-15,43,4500000000000000000.00,4500000000000000000.00
2024-04-15,4974,1.61,1.61
2024-04-15,4974,0.26,0.26
2024-04-15,4974,0.35,0.35
2024-04-15,4974,0.06,0.06
2024-04-15,4974,0.14,0.14
2024-04-15,4974,0.16,0.16
2024-04-15,4974,0.63,0.63
2024-04-15,0,0.77,0.77
2024-04-15,0,0.81,0.81
